"","dteday","TMAX","PRCP","AWND","season","day_of_week","mnth_date","day","cnt"
"1",2011-01-01,139,5,22,"1","Saturday","1_1",1,985
"2",2011-01-02,144,3,48,"1","Sunday","2_1",2,801
"3",2011-01-03,39,0,36,"1","Monday","3_1",3,1349
"4",2011-01-04,78,0,21,"1","Tuesday","4_1",4,1562
"5",2011-01-05,44,0,29,"1","Wednesday","5_1",5,1600
"6",2011-01-06,39,0,14,"1","Thursday","6_1",6,1606
"7",2011-01-07,11,0,29,"1","Friday","7_1",7,1510
"8",2011-01-08,0,3,51,"1","Saturday","8_1",8,959
"9",2011-01-09,0,0,76,"1","Sunday","9_1",9,822
"10",2011-01-10,11,0,31,"1","Monday","10_1",10,1321
"11",2011-01-11,0,28,11,"1","Tuesday","11_1",11,1263
"12",2011-01-12,0,0,67,"1","Wednesday","12_1",12,1162
"13",2011-01-13,11,0,58,"1","Thursday","13_1",13,1406
"14",2011-01-14,22,0,15,"1","Friday","14_1",14,1421
"15",2011-01-15,67,0,22,"1","Saturday","15_1",15,1248
"16",2011-01-16,39,0,38,"1","Sunday","16_1",16,1204
"17",2011-01-17,0,38,26,"1","Monday","17_1",17,1000
"18",2011-01-18,11,48,31,"1","Tuesday","18_1",18,683
"19",2011-01-19,106,0,34,"1","Wednesday","19_1",19,1650
"20",2011-01-20,50,0,34,"1","Thursday","20_1",20,1927
"21",2011-01-21,22,3,70,"1","Friday","21_1",21,1543
"22",2011-01-22,-39,0,20,"1","Saturday","22_1",22,981
"23",2011-01-23,-17,0,34,"1","Sunday","23_1",23,986
"24",2011-01-24,-6,0,23,"1","Monday","24_1",24,1416
"25",2011-01-25,72,0,13,"1","Tuesday","25_1",25,1985
"26",2011-01-26,17,333,47,"1","Wednesday","26_1",26,506
"27",2011-01-27,17,0,37,"1","Thursday","27_1",27,431
"28",2011-01-28,22,15,16,"1","Friday","28_1",28,1167
"29",2011-01-29,22,0,17,"1","Saturday","29_1",29,1098
"30",2011-01-30,67,0,11,"1","Sunday","30_1",30,1096
"31",2011-01-31,17,0,22,"1","Monday","31_1",31,1501
"32",2011-02-01,22,28,9,"1","Tuesday","1_2",1,1360
"33",2011-02-02,89,150,47,"1","Wednesday","2_2",2,1526
"34",2011-02-03,6,0,46,"1","Thursday","3_2",3,1550
"35",2011-02-04,39,0,12,"1","Friday","4_2",4,1708
"36",2011-02-05,39,41,22,"1","Saturday","5_2",5,1005
"37",2011-02-06,72,0,28,"1","Sunday","6_2",6,1623
"38",2011-02-07,78,0,4,"1","Monday","7_2",7,1712
"39",2011-02-08,33,0,73,"1","Tuesday","8_2",8,1530
"40",2011-02-09,6,0,28,"1","Wednesday","9_2",9,1605
"41",2011-02-10,6,0,37,"1","Thursday","10_2",10,1538
"42",2011-02-11,67,0,10,"1","Friday","11_2",11,1746
"43",2011-02-12,67,0,37,"1","Saturday","12_2",12,1472
"44",2011-02-13,117,0,42,"1","Sunday","13_2",13,1589
"45",2011-02-14,189,0,82,"1","Monday","14_2",14,1913
"46",2011-02-15,78,0,48,"1","Tuesday","15_2",15,1815
"47",2011-02-16,150,0,40,"1","Wednesday","16_2",16,2115
"48",2011-02-17,222,0,39,"1","Thursday","17_2",17,2475
"49",2011-02-19,128,0,116,"1","Saturday","19_2",19,1635
"50",2011-02-20,89,3,37,"1","Sunday","20_2",20,1812
"51",2011-02-21,67,56,38,"1","Monday","21_2",21,1107
"52",2011-02-22,0,20,33,"1","Tuesday","22_2",22,1450
"53",2011-02-23,67,0,11,"1","Wednesday","23_2",23,1917
"54",2011-02-24,100,33,32,"1","Thursday","24_2",24,1807
"55",2011-02-25,178,51,80,"1","Friday","25_2",25,1461
"56",2011-02-26,94,0,24,"1","Saturday","26_2",26,1969
"57",2011-02-27,167,0,18,"1","Sunday","27_2",27,2402
"58",2011-02-28,194,180,43,"1","Monday","28_2",28,1446
"59",2011-03-01,83,0,30,"1","Tuesday","1_3",1,1851
"60",2011-03-02,167,0,54,"1","Wednesday","2_3",2,2134
"61",2011-03-03,39,0,30,"1","Thursday","3_3",3,1685
"62",2011-03-04,94,0,38,"1","Friday","4_3",4,1944
"63",2011-03-05,172,0,43,"1","Saturday","5_3",5,2077
"64",2011-03-06,150,584,68,"1","Sunday","6_3",6,605
"65",2011-03-07,89,8,66,"1","Monday","7_3",7,1872
"66",2011-03-08,106,0,17,"1","Tuesday","8_3",8,2133
"67",2011-03-09,94,18,42,"1","Wednesday","9_3",9,1891
"68",2011-03-10,150,358,48,"1","Thursday","10_3",10,623
"69",2011-03-11,89,18,38,"1","Friday","11_3",11,1977
"70",2011-03-13,144,0,43,"1","Sunday","13_3",13,2417
"71",2011-03-14,111,0,23,"1","Monday","14_3",14,2046
"72",2011-03-15,100,79,25,"1","Tuesday","15_3",15,2056
"73",2011-03-16,144,28,33,"1","Wednesday","16_3",16,2192
"74",2011-03-17,183,0,34,"1","Thursday","17_3",17,2744
"75",2011-03-18,261,0,41,"1","Friday","18_3",18,3239
"76",2011-03-19,189,0,60,"1","Saturday","19_3",19,3117
"77",2011-03-20,117,0,31,"1","Sunday","20_3",20,2471
"78",2011-03-21,228,64,38,"2","Monday","21_3",21,2077
"79",2011-03-22,167,3,34,"2","Tuesday","22_3",22,2703
"80",2011-03-23,122,43,37,"2","Wednesday","23_3",23,2121
"81",2011-03-24,72,15,42,"2","Thursday","24_3",24,1865
"82",2011-03-26,72,0,30,"2","Saturday","26_3",26,2496
"83",2011-03-27,67,3,28,"2","Sunday","27_3",27,1693
"84",2011-03-28,83,0,31,"2","Monday","28_3",28,2028
"85",2011-03-29,100,0,30,"2","Tuesday","29_3",29,2425
"86",2011-03-30,83,41,23,"2","Wednesday","30_3",30,1536
"87",2011-03-31,56,28,24,"2","Thursday","31_3",31,1685
"88",2011-04-01,100,18,49,"2","Friday","1_4",1,2227
"89",2011-04-02,106,5,35,"2","Saturday","2_4",2,2252
"90",2011-04-03,150,0,38,"2","Sunday","3_4",3,3249
"91",2011-04-04,294,0,69,"2","Monday","4_4",4,3115
"92",2011-04-05,217,79,68,"2","Tuesday","5_4",5,1795
"93",2011-04-06,178,0,50,"2","Wednesday","6_4",6,2808
"94",2011-04-07,211,0,28,"2","Thursday","7_4",7,3141
"95",2011-04-08,106,107,31,"2","Friday","8_4",8,1471
"96",2011-04-09,100,0,18,"2","Saturday","9_4",9,2455
"97",2011-04-11,294,0,66,"2","Monday","11_4",11,3348
"98",2011-04-12,211,175,54,"2","Tuesday","12_4",12,2034
"99",2011-04-13,139,76,42,"2","Wednesday","13_4",13,2162
