,Date,Count
0,2013-01-01,1964
1,2013-01-02,3673
2,2013-01-03,3844
3,2013-01-04,4078
4,2013-01-05,3517
5,2013-01-06,3751
6,2013-01-07,4741
7,2013-01-08,5274
8,2013-01-09,5110
9,2013-01-10,5382
10,2013-01-11,4094
11,2013-01-12,5573
12,2013-01-13,4114
13,2013-01-14,5023
14,2013-01-15,2897
15,2013-01-16,3477
16,2013-01-17,4769
17,2013-01-18,4472
18,2013-01-19,4918
19,2013-01-20,5699
20,2013-01-21,4527
21,2013-01-22,2931
22,2013-01-23,3184
23,2013-01-24,2425
24,2013-01-25,2354
25,2013-01-26,2739
26,2013-01-27,2989
27,2013-01-28,2712
28,2013-01-29,5791
29,2013-01-30,4642
30,2013-01-31,4325
31,2013-02-01,3161
32,2013-02-02,2450
33,2013-02-03,2555
34,2013-02-04,3919
35,2013-02-05,4578
36,2013-02-06,4871
37,2013-02-07,4438
38,2013-02-08,3351
39,2013-02-09,3428
40,2013-02-10,3576
41,2013-02-11,4222
42,2013-02-12,5623
43,2013-02-13,3533
44,2013-02-14,5117
45,2013-02-15,5315
46,2013-02-16,3205
47,2013-02-17,2487
48,2013-02-18,3320
49,2013-02-19,3932
50,2013-02-20,4352
51,2013-02-21,4109
52,2013-02-22,3526
53,2013-02-23,2547
54,2013-02-24,4325
55,2013-02-25,4948
56,2013-02-26,2742
57,2013-02-27,5388
58,2013-02-28,5084
59,2013-03-01,4886
60,2013-03-02,3707
61,2013-03-03,3048
62,2013-03-04,4412
63,2013-03-05,5181
64,2013-03-06,1125
65,2013-03-07,5006
66,2013-03-08,4835
67,2013-03-09,6768
68,2013-03-10,6764
69,2013-03-11,6039
70,2013-03-12,4245
71,2013-03-13,5693
72,2013-03-14,4826
73,2013-03-15,6330
74,2013-03-16,6168
75,2013-03-17,3942
76,2013-03-18,2747
77,2013-03-19,5942
78,2013-03-20,5806
79,2013-03-21,4508
80,2013-03-22,5407
81,2013-03-23,6479
82,2013-03-24,3857
83,2013-03-25,1912
84,2013-03-26,5583
85,2013-03-27,5800
86,2013-03-28,5583
87,2013-03-29,7384
88,2013-03-30,9598
89,2013-03-31,3785
90,2013-04-01,6368
91,2013-04-02,5902
92,2013-04-03,6226
93,2013-04-04,5829
94,2013-04-05,7589
95,2013-04-06,9271
96,2013-04-07,9762
97,2013-04-08,8466
98,2013-04-09,9750
99,2013-04-10,9553
100,2013-04-11,9091
101,2013-04-12,5997
102,2013-04-13,11267
103,2013-04-14,9604
104,2013-04-15,6908
105,2013-04-16,8247
106,2013-04-17,8477
107,2013-04-18,7686
108,2013-04-19,6118
109,2013-04-20,8793
