,Date,Count,TMAX,PRCP,AWND
0,2013-01-01,1964,61,0,13
1,2013-01-02,3673,33,0,34
2,2013-01-03,3844,39,0,15
3,2013-01-04,4078,67,0,31
4,2013-01-05,3517,72,0,26
5,2013-01-06,3751,106,0,21
6,2013-01-07,4741,72,0,30
7,2013-01-08,5274,117,0,19
8,2013-01-09,5110,100,5,12
9,2013-01-10,5382,128,0,26
10,2013-01-11,4094,72,5,12
11,2013-01-12,5573,122,0,8
12,2013-01-13,4114,139,3,19
13,2013-01-14,5023,150,30,42
14,2013-01-15,2897,44,160,30
15,2013-01-16,3477,50,74,18
16,2013-01-17,4769,67,0,25
17,2013-01-18,4472,33,0,42
18,2013-01-19,4918,133,0,54
19,2013-01-20,5699,144,0,55
20,2013-01-21,4527,89,0,39
21,2013-01-22,2931,-17,0,64
22,2013-01-23,3184,-33,0,25
23,2013-01-24,2425,-28,13,42
24,2013-01-25,2354,-56,8,17
25,2013-01-26,2739,6,0,17
26,2013-01-27,2989,39,0,14
27,2013-01-28,2712,78,53,36
28,2013-01-29,5791,211,0,26
29,2013-01-30,4642,222,508,52
30,2013-01-31,4325,150,81,75
31,2013-02-01,3161,0,3,62
32,2013-02-02,2450,-11,0,25
33,2013-02-03,2555,6,3,19
34,2013-02-04,3919,22,0,43
35,2013-02-05,4578,56,0,12
36,2013-02-06,4871,78,0,39
37,2013-02-07,4438,39,0,21
38,2013-02-08,3351,56,48,57
39,2013-02-09,3428,56,0,72
40,2013-02-10,3576,72,0,27
41,2013-02-11,4222,144,33,45
42,2013-02-12,5623,139,0,35
43,2013-02-13,3533,78,66,23
44,2013-02-14,5117,100,0,21
45,2013-02-15,5315,144,25,31
46,2013-02-16,3205,33,0,36
47,2013-02-17,2487,-6,0,81
48,2013-02-18,3320,61,0,35
49,2013-02-19,3932,72,18,55
50,2013-02-20,4352,39,0,74
51,2013-02-21,4109,39,0,46
52,2013-02-22,3526,6,15,30
53,2013-02-23,2547,61,10,24
54,2013-02-24,4325,106,0,45
55,2013-02-25,4948,83,0,22
56,2013-02-26,2742,67,180,39
57,2013-02-27,5388,128,10,35
58,2013-02-28,5084,72,3,41
59,2013-03-01,4886,67,0,46
60,2013-03-02,3707,28,0,38
61,2013-03-03,3048,56,0,50
62,2013-03-04,4412,61,0,57
63,2013-03-05,5181,106,8,28
64,2013-03-06,1125,33,234,63
65,2013-03-07,5006,83,0,53
66,2013-03-08,4835,94,0,72
67,2013-03-09,6768,156,0,21
68,2013-03-10,6764,167,0,24
69,2013-03-11,6039,150,0,46
70,2013-03-12,4245,144,295,57
71,2013-03-13,5693,100,0,48
72,2013-03-14,4826,72,0,72
73,2013-03-15,6330,139,0,37
74,2013-03-16,6168,161,8,30
75,2013-03-17,3942,44,0,25
76,2013-03-18,2747,28,117,20
77,2013-03-19,5942,150,0,50
78,2013-03-20,5806,111,0,47
79,2013-03-21,4508,28,0,60
80,2013-03-22,5407,89,0,45
81,2013-03-23,6479,122,0,28
82,2013-03-24,3857,56,13,13
83,2013-03-25,1912,39,112,29
84,2013-03-26,5583,94,0,46
85,2013-03-27,5800,94,0,60
86,2013-03-28,5583,94,0,52
87,2013-03-29,7384,133,0,25
88,2013-03-30,9598,156,0,18
89,2013-03-31,3785,106,18,13
90,2013-04-01,6368,178,0,45
91,2013-04-02,5902,100,0,50
92,2013-04-03,6226,111,0,41
93,2013-04-04,5829,94,41,21
94,2013-04-05,7589,189,25,38
95,2013-04-06,9271,139,0,29
96,2013-04-07,9762,217,0,56
97,2013-04-08,8466,272,0,38
98,2013-04-09,9750,294,0,33
99,2013-04-10,9553,317,0,38
100,2013-04-11,9091,300,0,26
101,2013-04-12,5997,261,142,28
102,2013-04-13,11267,211,0,21
103,2013-04-14,9604,194,0,28
104,2013-04-15,6908,178,0,26
105,2013-04-16,8247,244,0,43
106,2013-04-17,8477,250,15,23
107,2013-04-18,7686,256,23,37
108,2013-04-19,6118,256,305,55
109,2013-04-20,8793,156,0,61
110,2013-04-21,7330,128,0,30
111,2013-04-22,6737,133,0,33
112,2013-04-23,7434,161,0,17
113,2013-04-24,8460,256,0,55
114,2013-04-25,8262,178,0,39
115,2013-04-26,8996,183,0,17
116,2013-04-27,10820,211,0,16
117,2013-04-28,7851,172,10,28
118,2013-04-29,4289,161,23,28
119,2013-04-30,5359,156,0,28
120,2013-05-01,8608,211,0,30
121,2013-05-02,8490,206,0,18
122,2013-05-03,8655,200,0,32
123,2013-05-04,9472,200,0,31
124,2013-05-05,7986,172,0,27
125,2013-05-06,6506,167,3,39
126,2013-05-07,4419,183,259,46
127,2013-05-08,6586,200,122,9
128,2013-05-09,7793,244,0,15
129,2013-05-10,8870,289,97,26
130,2013-05-11,6455,250,81,25
131,2013-05-12,8010,178,0,55
132,2013-05-13,7381,161,0,40
133,2013-05-14,8061,183,0,17
134,2013-05-15,8756,294,0,37
135,2013-05-16,8895,278,0,34
136,2013-05-17,10047,283,0,23
137,2013-05-18,6333,200,23,22
138,2013-05-19,6674,233,10,16
139,2013-05-20,8383,272,0,24
140,2013-05-21,9042,289,0,31
141,2013-05-22,8895,306,0,34
142,2013-05-23,8051,272,124,34
143,2013-05-24,6627,172,0,70
144,2013-05-25,7944,189,0,66
